Title,URL,Date,Description,Text
A thawing Arctic is heating up a new Cold War,https://www.nationalgeographic.com/history/article/how-climate-change-is-setting-the-stage-for-the-new-arctic-cold-war-feature,08-15-2019,Nations—and their militaries—are scrambling to control long-frozen resources and new shipping routes.,"This story appears in the September 2019 issue of National Geographic magazine. Photography for this story was supported by grants from the John Simon Guggenheim Memorial Foundation and the Pulitzer Center.

Late on a gray November afternoon Marvin Atqittuq, a newly elected patrol commander in the Arctic community of Gjoa Haven, stood on the frozen sea outside town and called his troops in for a meeting. A frigid wind flicked snow in from the south, and it was about 20 below zero, cold but not that cold for the Arctic. The company of some 20 Inuit men and a few women gathered around with rifles slung over their shoulders, dressed in hand-sewn jackets of caribou hide or pants made of polar bear fur or wearing the usual store-bought stuff, which was far less warm but namuktuk, good enough for now.

Atqittuq (pronounced At-kee-TUK) pulled on a pair of sealskin gloves and outlined the plan for the day. The group was part of the Canadian Rangers, a reserve component of Canada’s armed forces, and Atqittuq would now lead them on his first mission as their commander: a weeklong patrol by snowmobile down the treeless coast of King William Island. There would be GPS training, military-style target practice, search-and-rescue scenarios, and plenty of hunting and ice fishing.

I stood at the edge of the circle, rubbing ice from my eyelashes. It was too cold to take notes, so I watched faces and read the frostbite scars, little badges of honor that told of lives spent outdoors on one of the planet’s most unyielding landscapes. The group soon broke up and began smoking last cigarettes before the long ride into darkness. Atqittuq walked over to ask whether I was warm enough. He was tall, broad shouldered, laughed easily. He’d been a ranger for many years before the others had voted him their new commander. In a friendly way, he warned me not to fall asleep on the journey ahead. This story appears in the September 2019 issue of National Geographic magazine. Photography for this story was supported by grants from the John Simon Guggenheim Memorial Foundation and the Pulitzer Center.

Late on a gray November afternoon Marvin Atqittuq, a newly elected patrol commander in the Arctic community of Gjoa Haven, stood on the frozen sea outside town and called his troops in for a meeting. A frigid wind flicked snow in from the south, and it was about 20 below zero, cold but not that cold for the Arctic. The company of some 20 Inuit men and a few women gathered around with rifles slung over their shoulders, dressed in hand-sewn jackets of caribou hide or pants made of polar bear fur or wearing the usual store-bought stuff, which was far less warm but namuktuk, good enough for now.

Atqittuq (pronounced At-kee-TUK) pulled on a pair of sealskin gloves and outlined the plan for the day. The group was part of the Canadian Rangers, a reserve component of Canada’s armed forces, and Atqittuq would now lead them on his first mission as their commander: a weeklong patrol by snowmobile down the treeless coast of King William Island. There would be GPS training, military-style target practice, search-and-rescue scenarios, and plenty of hunting and ice fishing.

I stood at the edge of the circle, rubbing ice from my eyelashes. It was too cold to take notes, so I watched faces and read the frostbite scars, little badges of honor that told of lives spent outdoors on one of the planet’s most unyielding landscapes. The group soon broke up and began smoking last cigarettes before the long ride into darkness. Atqittuq walked over to ask whether I was warm enough. He was tall, broad shouldered, laughed easily. He’d been a ranger for many years before the others had voted him their new commander. In a friendly way, he warned me not to fall asleep on the journey ahead."
A tiny pest helped stoke this year’s devastating wildfires,https://www.nationalgeographic.com/science/article/bark-beetles-helped-stoke-2020-devastating-wildfires,10-01-2020,"It’s not just hot, dry conditions and fire suppression that has exacerbated 2020's western fires. There’s also the attack of the beetles to consider.","The photos and news from the past month’s devastating fires across parts of the West—charred towns, dramatic helicopter rescues, apocalyptic skies—have provoked fear, anger, and an understandable search for blame. It’s clear that fires are getting worse. But why? Scientists point to a number of reasons. Hotter and drier conditions brought on by climate change can prime vegetation to burn, and decades of fire suppression have allowed fuel to accumulate in forests. Millions of people now live closer to those dry forests than ever. And then there is the matter of the beetles.

There are 600 species of bark beetles in the United States, and they’ve evolved with their various host trees over millennia. Many bark beetles infest already dead or dying trees, but some, like the mountain pine beetle, attack living ones. The mountain pine beetle alone has killed roughly 100,000 square miles of trees across western North America over the past 20 years, from New Mexico all the way up to northern British Columbia. Climate change has instigated this dramatic spread, by eliminating the cold spells that kill off the beetles and by leaving the trees stressed by drought, unable to defend themselves.

(Read: Inside California's fight to contain its wildfires.) The photos and news from the past month’s devastating fires across parts of the West—charred towns, dramatic helicopter rescues, apocalyptic skies—have provoked fear, anger, and an understandable search for blame. It’s clear that fires are getting worse. But why? Scientists point to a number of reasons. Hotter and drier conditions brought on by climate change can prime vegetation to burn, and decades of fire suppression have allowed fuel to accumulate in forests. Millions of people now live closer to those dry forests than ever. And then there is the matter of the beetles.

There are 600 species of bark beetles in the United States, and they’ve evolved with their various host trees over millennia. Many bark beetles infest already dead or dying trees, but some, like the mountain pine beetle, attack living ones. The mountain pine beetle alone has killed roughly 100,000 square miles of trees across western North America over the past 20 years, from New Mexico all the way up to northern British Columbia. Climate change has instigated this dramatic spread, by eliminating the cold spells that kill off the beetles and by leaving the trees stressed by drought, unable to defend themselves.

(Read: Inside California's fight to contain its wildfires.)"
A top Antarctic predator has switched what it eats,https://www.nationalgeographic.com/environment/article/antarctica-leopard-seals-face-shrinking-prey-climate-change,05-02-2019,"As the white continent warms, shrinking sea ice is changing life for leopard seals.","It was on the northern tip of a small rocky island at the bottom of the world where the solitary top predators suddenly started gathering.

Before 1996 around Livingston Island's Cape Shirreff, across the windy Bransfield Strait from the western Antarctic Peninsula, never more than two leopard seals were seen at a time. As far back as the 1800s, commercial fur sealers who'd slaughtered marine mammals for their pelts kept painstaking records of the animals they saw. Leopard seals, with their powerful jaws, upturned mouths and menacing teeth, weren't among them.

In recent years, though, a half-dozen hungry leopard seals may bob and weave offshore at once. They often plop onto the cape and nap. As many as 60 or 80 may swing by in a season. Once, researchers saw 30 hauled out at the same time. It was on the northern tip of a small rocky island at the bottom of the world where the solitary top predators suddenly started gathering.

Before 1996 around Livingston Island's Cape Shirreff, across the windy Bransfield Strait from the western Antarctic Peninsula, never more than two leopard seals were seen at a time. As far back as the 1800s, commercial fur sealers who'd slaughtered marine mammals for their pelts kept painstaking records of the animals they saw. Leopard seals, with their powerful jaws, upturned mouths and menacing teeth, weren't among them.

In recent years, though, a half-dozen hungry leopard seals may bob and weave offshore at once. They often plop onto the cape and nap. As many as 60 or 80 may swing by in a season. Once, researchers saw 30 hauled out at the same time."
A warming Arctic could cost the world trillions of dollars,https://www.nationalgeographic.com/environment/article/arctic-climate-change-feedback-loops-cost-trillions,04-23-2019,New science warns that melting ice and permafrost could set off feedback loops that make climate change worse.,"Scientists have long warned that climate change is likely to bring expensive impacts, from rising seas to stronger storms. And a new study comes with a hefty price tag.

A warming Arctic is shifting from white to dark as sea ice melts and land-covered snow retreats, and that means it can absorb even more of the sun’s heat. Plus, the Arctic’s vast permafrost area is thawing, releasing more heat-trapping carbon and methane. These climate-change-driven feedbacks in the Arctic are accelerating warming even faster and may add nearly $70 trillion to the overall costs of climate change—even if the world meets the Paris Agreement climate targets, a new study says.

However, if efforts can be made to keep climate change limited to 2.7 degrees Fahrenheit (1.5C), the extra cost of Arctic warming drops to $25 trillion, new research published in Nature Communications reports. A trillion is a thousand billion. For comparison, the global GDP in 2016 was around $76 trillion. Scientists have long warned that climate change is likely to bring expensive impacts, from rising seas to stronger storms. And a new study comes with a hefty price tag.

A warming Arctic is shifting from white to dark as sea ice melts and land-covered snow retreats, and that means it can absorb even more of the sun’s heat. Plus, the Arctic’s vast permafrost area is thawing, releasing more heat-trapping carbon and methane. These climate-change-driven feedbacks in the Arctic are accelerating warming even faster and may add nearly $70 trillion to the overall costs of climate change—even if the world meets the Paris Agreement climate targets, a new study says.

However, if efforts can be made to keep climate change limited to 2.7 degrees Fahrenheit (1.5C), the extra cost of Arctic warming drops to $25 trillion, new research published in Nature Communications reports. A trillion is a thousand billion. For comparison, the global GDP in 2016 was around $76 trillion."
A water crisis looms for 270 million people as South Asia’s glaciers shrink,https://www.nationalgeographic.com/magazine/article/water-crisis-looms-for-270-million-people-south-asia-perpetual-planet-feature,06-16-2020,"Melting ice is crucial to the thirsty Indus River region. But now the flow is projected to decline, posing risks for agriculture and a growing population.","This story appears in the July 2020 issue of National Geographic magazine. This article was supported by Rolex, which is partnering with the National Geographic Society to shine a light on the challenges facing the Earth’s critical life-support systems through science, exploration, and storytelling.

From near Mount Kangrinboqe in Tibet rise four major rivers, which stretch east and west across the Himalaya and down to the sea like the limbs of a venerable water goddess. Where these rivers flow, they define civilizations and nations: Tibet, Pakistan, northern India, Nepal, Bangladesh. How their water is spent has long depended on the people living downstream. How the rivers are replenished depends on two things: monsoon rains and glacial ice melt. Both phenomena, for millennia the preserve of the gods, are now in the hands of humans too. (See why these 10 rivers are vital to Asia’s survival.)

Rivers emerging from the eastern Himalaya, like the Brahmaputra, are mostly fed by the summer monsoon; their flow may well increase as a warming climate puts more moisture in the atmosphere. But most water in the Indus, which flows west from Mount Kangrinboqe, comes from the snows and glaciers of the Himalaya, the Karakoram, and the Hindu Kush. Glaciers especially are “water towers”: They store winter snowfall as ice, high in the mountains, and they surrender it as meltwater in spring and summer. In this way, they provide a steady flow that nourishes humans and ecosystems. Downstream, in the plains of Pakistan and northern India, the world’s most extensive system of irrigated agriculture depends on the Indus. The glaciers that feed it are a lifeline for some 270 million people. (The Indus River is a lifeline for millions. This map shows the threats it faces.) This story appears in the July 2020 issue of National Geographic magazine. This article was supported by Rolex, which is partnering with the National Geographic Society to shine a light on the challenges facing the Earth’s critical life-support systems through science, exploration, and storytelling.

From near Mount Kangrinboqe in Tibet rise four major rivers, which stretch east and west across the Himalaya and down to the sea like the limbs of a venerable water goddess. Where these rivers flow, they define civilizations and nations: Tibet, Pakistan, northern India, Nepal, Bangladesh. How their water is spent has long depended on the people living downstream. How the rivers are replenished depends on two things: monsoon rains and glacial ice melt. Both phenomena, for millennia the preserve of the gods, are now in the hands of humans too. (See why these 10 rivers are vital to Asia’s survival.)

Rivers emerging from the eastern Himalaya, like the Brahmaputra, are mostly fed by the summer monsoon; their flow may well increase as a warming climate puts more moisture in the atmosphere. But most water in the Indus, which flows west from Mount Kangrinboqe, comes from the snows and glaciers of the Himalaya, the Karakoram, and the Hindu Kush. Glaciers especially are “water towers”: They store winter snowfall as ice, high in the mountains, and they surrender it as meltwater in spring and summer. In this way, they provide a steady flow that nourishes humans and ecosystems. Downstream, in the plains of Pakistan and northern India, the world’s most extensive system of irrigated agriculture depends on the Indus. The glaciers that feed it are a lifeline for some 270 million people. (The Indus River is a lifeline for millions. This map shows the threats it faces.)"
Activists fear a new threat to biodiversity—renewable energy,https://www.nationalgeographic.com/environment/article/activists-fear-biodiversity-threat-from-renewable-energy,05-26-2022,"To fight climate change, cleaner energy sources are desperately needed, but some experts say more should be done to keep untouched desert ecosystems intact.","A small Nevada wildflower named Tiehm’s buckwheat might still be living in obscurity if it had not happened to grow in soil full of lithium. As it is, that could prove its downfall.

Lithium is needed to make the high-powered batteries that are helping the world transition to electric vehicles. Demand is soaring, and mining companies are eager to take it out of the ground at several new sites in Nevada, already home to the only existing lithium mine in the U.S.

But Tiehm’s buckwheat is rarer than lithium. It grows only on approximately 10 acres of land at Rhyolite Ridge in southwestern Nevada—right where one of the new lithium mines is planned. A small Nevada wildflower named Tiehm’s buckwheat might still be living in obscurity if it had not happened to grow in soil full of lithium. As it is, that could prove its downfall.

Lithium is needed to make the high-powered batteries that are helping the world transition to electric vehicles. Demand is soaring, and mining companies are eager to take it out of the ground at several new sites in Nevada, already home to the only existing lithium mine in the U.S.

But Tiehm’s buckwheat is rarer than lithium. It grows only on approximately 10 acres of land at Rhyolite Ridge in southwestern Nevada—right where one of the new lithium mines is planned."
Activities to teach kids about climate change,https://www.nationalgeographic.com/family/article/activities-teach-kids-climate-change,03-10-2020,"Climate change is a hot topic, and your kids probably have questions about it. But it’s not exactly the easiest issue to explain. Use these ideas from Nat Geo Kids to help you empower your children to understand not only what climate change is all about—but also what they can do to help.","Climate change is a hot topic, and your kids probably have questions about it. But it’s not exactly the easiest issue to explain. Empower your children to understand not only what climate change is all about—but also what they can do to help. Here are videos, games, and crafts to get you started.

Start with the facts
Not sure how to explain climate change? No problem! Check out our kid-friendly article and video that explain the science behind the greenhouse effect and how global warming is affecting the Earth. Then remind kids how awesome our planet is with this amazing photo gallery.

Empower them with tips and crafts
Excite your kids about fighting climate change by playing the online game Recycle Roundup, then investigate ideas the whole family can do together to help save the planet. Whether they’re creatively resusing household items, waging a war on plastic, or decreasing the amount of carbon dioxide in the atmosphere, kids will feel empowered to make a difference. Climate change is a hot topic, and your kids probably have questions about it. But it’s not exactly the easiest issue to explain. Empower your children to understand not only what climate change is all about—but also what they can do to help. Here are videos, games, and crafts to get you started.

Start with the facts
Not sure how to explain climate change? No problem! Check out our kid-friendly article and video that explain the science behind the greenhouse effect and how global warming is affecting the Earth. Then remind kids how awesome our planet is with this amazing photo gallery.

Empower them with tips and crafts
Excite your kids about fighting climate change by playing the online game Recycle Roundup, then investigate ideas the whole family can do together to help save the planet. Whether they’re creatively resusing household items, waging a war on plastic, or decreasing the amount of carbon dioxide in the atmosphere, kids will feel empowered to make a difference."
"Aerosols, explained",https://www.nationalgeographic.com/environment/article/aerosols,04-09-2019,"Tiny particles floating in the atmosphere have a much bigger impact on the planet than you might think, and human activity plays a role.","The most vibrant sunsets, cloud-choked skies, and cough-inducing days all have something in common: They happen because of aerosols, tiny particles that float in the air. Aerosols can be tiny droplets, dust particles, bits of fine black carbon, and other things, and as they float through the atmosphere they change the whole energy balance of the planet.

Aerosols have an outsized effect on the planet’s climate. Some of them, like black and brown carbon, warm the Earth’s atmosphere, while others, like sulfate droplets, cool it. Scientists think that on balance, the whole budget of aerosols ends up cooling the planet slightly. But exactly how much, and how much that effect can shift over days, years, or centuries is still not totally clear.

What are aerosols?

The term aerosol is a catch-all for many kinds of little bits of stuff that end up suspended in the atmosphere, from the surface of the planet all the way to the edges of space. They can be solid or liquid, infinitesimally small or big enough to see with the naked eye. The most vibrant sunsets, cloud-choked skies, and cough-inducing days all have something in common: They happen because of aerosols, tiny particles that float in the air. Aerosols can be tiny droplets, dust particles, bits of fine black carbon, and other things, and as they float through the atmosphere they change the whole energy balance of the planet.

Aerosols have an outsized effect on the planet’s climate. Some of them, like black and brown carbon, warm the Earth’s atmosphere, while others, like sulfate droplets, cool it. Scientists think that on balance, the whole budget of aerosols ends up cooling the planet slightly. But exactly how much, and how much that effect can shift over days, years, or centuries is still not totally clear.

What are aerosols?

The term aerosol is a catch-all for many kinds of little bits of stuff that end up suspended in the atmosphere, from the surface of the planet all the way to the edges of space. They can be solid or liquid, infinitesimally small or big enough to see with the naked eye."
"Africa's Oldest Trees Are Dying, and Scientists Are Stumped",https://www.nationalgeographic.com/science/article/oldest-tress-africa-baobabs-dead-climate-science,06-11-2018,A mysterious killer is claiming the mighty baobab.,"In South Africa’s Limpopo province, a baobab tree once grew so large and stood so strong that its human neighbors decided to do the obvious: They built a pub inside the living tree’s thousand-year-old hollow trunk, which measured more than 150 feet around and enclosed two interconnected cavities.

For two decades, the Sunland baobab attracted tourists wanting to knock back a pint in a tree. But in August 2016, one of the monster stems forming the interior wall cracked and collapsed. Eight months later, another huge chunk toppled over, and now, five of the giant Sunland stems have collapsed and died, leaving only half of the tree standing.

Though the Sunland tree’s demise could sound like a consequence of human visitation, it’s part of an alarming trend: A startlingly high percentage of the oldest, largest baobabs in Africa have died within the last 12 years, scientists report today in the journal Nature Plants. In South Africa’s Limpopo province, a baobab tree once grew so large and stood so strong that its human neighbors decided to do the obvious: They built a pub inside the living tree’s thousand-year-old hollow trunk, which measured more than 150 feet around and enclosed two interconnected cavities.

For two decades, the Sunland baobab attracted tourists wanting to knock back a pint in a tree. But in August 2016, one of the monster stems forming the interior wall cracked and collapsed. Eight months later, another huge chunk toppled over, and now, five of the giant Sunland stems have collapsed and died, leaving only half of the tree standing.

Though the Sunland tree’s demise could sound like a consequence of human visitation, it’s part of an alarming trend: A startlingly high percentage of the oldest, largest baobabs in Africa have died within the last 12 years, scientists report today in the journal Nature Plants."
"African Diet, Jobs Will Be Hit Hard by Climate Change",https://www.nationalgeographic.com/culture/article/african-diet-jobs-will-be-hit-hard-by-climate-change,03-11-2016,"Corn, beans and bananas could start to disappear from sub-Saharan Africa—where those crops are among the most important …","Corn, beans and bananas could start to disappear from sub-Saharan Africa—where those crops are among the most important for local consumption—by century’s end. The culprit? Climate change.

A new study of staple crops in that region, published Monday in the journal Nature Climate Change, predicts that by 2025, 30 percent of land in the region currently cultivated for bananas, primarily in West Africa, will become unsuitable for the crop, say researchers with the Consultative Group for International Agricultural Research. Bananas are significant for local consumption, say researchers.

Meanwhile, 60 percent of bean agriculture will cease to be productive by 2050, as will 41 percent of land currently dedicated to maize, the study says. Those crops are incredibly dominant in the sub-Saharan diet, featured in dishes ranging from githeri, a flavorful corn and bean stew, to ugali, a mush made of cornmeal and water. Corn, beans and bananas could start to disappear from sub-Saharan Africa—where those crops are among the most important for local consumption—by century’s end. The culprit? Climate change.

A new study of staple crops in that region, published Monday in the journal Nature Climate Change, predicts that by 2025, 30 percent of land in the region currently cultivated for bananas, primarily in West Africa, will become unsuitable for the crop, say researchers with the Consultative Group for International Agricultural Research. Bananas are significant for local consumption, say researchers.

Meanwhile, 60 percent of bean agriculture will cease to be productive by 2050, as will 41 percent of land currently dedicated to maize, the study says. Those crops are incredibly dominant in the sub-Saharan diet, featured in dishes ranging from githeri, a flavorful corn and bean stew, to ugali, a mush made of cornmeal and water."
African musicians use song to protest a world marred by climate change,https://www.nationalgeographic.com/environment/article/conservation-music-spreads-environmental-message-africa,01-10-2019,“Music is an emotional tool. It goes directly to your heart.”,"This article was created in partnership with the National Geographic Society.

When Maureen Lupo Lilanda visited the countryside as a child, her family would return with armfuls of flavorful fruits and vegetables.

“Everything was plentiful,” she says. “Now with lack of rainfall, you go to the village and there's nothing to harvest.”

The Zambian village had no irrigation system; for decades they had relied only on the naturally occurring rain cycle to bring life to their soil. In the past 20 years, Lilanda estimates, those rains have stopped falling. This article was created in partnership with the National Geographic Society.

When Maureen Lupo Lilanda visited the countryside as a child, her family would return with armfuls of flavorful fruits and vegetables.

“Everything was plentiful,” she says. “Now with lack of rainfall, you go to the village and there's nothing to harvest.”

The Zambian village had no irrigation system; for decades they had relied only on the naturally occurring rain cycle to bring life to their soil. In the past 20 years, Lilanda estimates, those rains have stopped falling."
"After Paris, 3 Reasons the World Could Bid Adieu to Fossil Fuels",https://www.nationalgeographic.com/science/article/151214-can-the-world-bid-adieu-to-fossil-fuels-paris-climate-talks,12-14-2015,The new climate accord aims to accelerate the shift toward clean energy. How quickly can this happen?,"Now comes the real challenge: powering a world without fossil fuels.

The Paris climate accord, in its ambition to cut planet-warming carbon emissions, calls for a tectonic shift in energy—in essence, a new global economy to be fueled by zero-carbon sources such as solar and wind.

“In the coming decades the world will have to say goodbye to coal, oil, and gas,” said German Environment Minister Barbara Hendricks. The historic pact seeks to peak emissions in a few decades and then eliminate them. Now comes the real challenge: powering a world without fossil fuels.

The Paris climate accord, in its ambition to cut planet-warming carbon emissions, calls for a tectonic shift in energy—in essence, a new global economy to be fueled by zero-carbon sources such as solar and wind.

“In the coming decades the world will have to say goodbye to coal, oil, and gas,” said German Environment Minister Barbara Hendricks. The historic pact seeks to peak emissions in a few decades and then eliminate them."
"After a fatal shark attack, how does a town adapt?",https://www.nationalgeographic.com/animals/article/wild-returns-cape-cod-shark-attacks,11-27-2018,"Cape Cod knew it could happen any day, but reality has set in. Now the community must grapple with what it means to be a great white shark epicenter.","WELLFLEET, MASS. — The ocean was flat and black during Arthur Medici’s memorial. Dozens of surfers went in with flowers on their boards, a “paddle out” for Medici that many, including the Atlantic White Shark Conservancy, thought wasn’t the best idea—there were still sharks around in late October. Organizers had hoped to secure a spotter plane to scan for great whites, but the sky was a blanket of thick, leaden clouds.

Seals popped up in the surf close to shore, their dark eyes surveying the beach. “They're going out there?” a striped-bass fisherman down the beach asked as he watched them go.

One month had passed since Medici, 26, was killed on Newcomb Hollow Beach in Wellfleet, Massachusetts, the victim of the state’s first fatal shark attack since 1936. The white cross up in the sand dunes and boogie board fastened to the fence in the parking lot hadn’t begun to weather yet. Few at the memorial would say the word “shark” aloud, but it swam beneath the surface there, and everywhere else on Cape Cod. WELLFLEET, MASS. — The ocean was flat and black during Arthur Medici’s memorial. Dozens of surfers went in with flowers on their boards, a “paddle out” for Medici that many, including the Atlantic White Shark Conservancy, thought wasn’t the best idea—there were still sharks around in late October. Organizers had hoped to secure a spotter plane to scan for great whites, but the sky was a blanket of thick, leaden clouds.

Seals popped up in the surf close to shore, their dark eyes surveying the beach. “They're going out there?” a striped-bass fisherman down the beach asked as he watched them go.

One month had passed since Medici, 26, was killed on Newcomb Hollow Beach in Wellfleet, Massachusetts, the victim of the state’s first fatal shark attack since 1936. The white cross up in the sand dunes and boogie board fastened to the fence in the parking lot hadn’t begun to weather yet. Few at the memorial would say the word “shark” aloud, but it swam beneath the surface there, and everywhere else on Cape Cod."
"After record-setting hurricane damage, Louisiana town struggles to rebuild",https://www.nationalgeographic.com/science/article/louisiana-struggles-to-recover-hurricane-laura-lake-charles,09-02-2020,"“We didn’t know what devastation was until this storm.” Residents work on recovery after Hurricane Laura, even as they face extreme heat and the coronavirus.","LAKE CHARLES, LOUISIANA — First his face went a little numb. Then, he lost feeling in his arms and began to feel nauseated. When the feeling progressed, Casey Brown walked the few blocks to the still-intact home of his father, Lynard, who doused him with water and got him something to eat.

Brown isn’t sure if his symptoms meant he was experiencing heat stroke, or were the result of not having eaten for several days. But the next day he was back to work, repairing the roof of his mother’s house, damaged when Hurricane Laura decimated the Lake Charles area. Next he’ll work on his own home nearby, where he lives with his girlfriend of 11 years, Kasey Mayon, his daughter Lacey, their son Dante, and their week-old daughter, Amelia, who was born the Tuesday before Laura struck.

“The more I do, the faster my family gets back,” he says. LAKE CHARLES, LOUISIANA — First his face went a little numb. Then, he lost feeling in his arms and began to feel nauseated. When the feeling progressed, Casey Brown walked the few blocks to the still-intact home of his father, Lynard, who doused him with water and got him something to eat.

Brown isn’t sure if his symptoms meant he was experiencing heat stroke, or were the result of not having eaten for several days. But the next day he was back to work, repairing the roof of his mother’s house, damaged when Hurricane Laura decimated the Lake Charles area. Next he’ll work on his own home nearby, where he lives with his girlfriend of 11 years, Kasey Mayon, his daughter Lacey, their son Dante, and their week-old daughter, Amelia, who was born the Tuesday before Laura struck.

“The more I do, the faster my family gets back,” he says."
"Ahead of UN Climate Summit, Environmental Report Sees Economic Opportunities",https://www.nationalgeographic.com/science/article/140916-climate-economy-report-sustainability,09-16-2014,"Smart planning and new technologies are key to a brighter future, says a report from Global Commission on the Economy and Climate.","A week before heads of state meet at the United Nations to discuss climate change, a major report on Tuesday from global political, environmental, and industry leaders says it's possible to grow the world economy while tackling global warming.

Global leaders ""realize there is serious risk of climate change in the future,"" former Mexican President Felipe Calderón, who chaired the group behind the report, told reporters Thursday. ""However there is a general perception that taking responsible actions in order to tackle climate change could reduce economic growth and the creation of jobs or other goals.""

""Yes, it is possible to get economic growth and tackle climate change,"" he said. A week before heads of state meet at the United Nations to discuss climate change, a major report on Tuesday from global political, environmental, and industry leaders says it's possible to grow the world economy while tackling global warming.

Global leaders ""realize there is serious risk of climate change in the future,"" former Mexican President Felipe Calderón, who chaired the group behind the report, told reporters Thursday. ""However there is a general perception that taking responsible actions in order to tackle climate change could reduce economic growth and the creation of jobs or other goals.""

""Yes, it is possible to get economic growth and tackle climate change,"" he said."
"Ahead of UN Climate Summit, Global Treaty on Warming Looks Unlikely",https://www.nationalgeographic.com/science/article/1409021-united-nations-climate-change-summit-treaty,09-21-2014,This week's global meeting in New York could set the stage for negotiations around a potential international deal next year.,"Behind all the fanfare around this week’s UN Climate Summit, which will bring 120 heads of state to New York on Tuesday, looms one big question: Will the nations of the world agree on a path to avoid the most dangerous consequences of climate change, such as dramatic sea-level rise and extreme droughts and storms?

The answer will not come during the official summit. This week’s event is not a negotiating session for the next international agreement; that will happen in December 2015, when countries that are signatories to the United Nations Framework Convention on Climate Change meet in Paris.

But it’s looking increasingly likely that the next big international agreement on climate change will not be a legally binding treaty like the 1997 Kyoto Protocol, which required developed countries to reduce greenhouse gases by specific amounts (and which was rejected by the United States and, more recently, Canada). Behind all the fanfare around this week’s UN Climate Summit, which will bring 120 heads of state to New York on Tuesday, looms one big question: Will the nations of the world agree on a path to avoid the most dangerous consequences of climate change, such as dramatic sea-level rise and extreme droughts and storms?

The answer will not come during the official summit. This week’s event is not a negotiating session for the next international agreement; that will happen in December 2015, when countries that are signatories to the United Nations Framework Convention on Climate Change meet in Paris.

But it’s looking increasingly likely that the next big international agreement on climate change will not be a legally binding treaty like the 1997 Kyoto Protocol, which required developed countries to reduce greenhouse gases by specific amounts (and which was rejected by the United States and, more recently, Canada)."
"Air pollution linked to bipolar disorder, depression",https://www.nationalgeographic.com/environment/article/air-pollution-linked-to-bipolar-disorder-depression,08-20-2019,A new study adds to research showing a link between pollution and poor mental health.,"Air pollution takes a massive toll on our health. The World Health Organization links it to deadly diseases like lung cancer and stroke, and new research suggests that polluted regions see more cases of neurological disorders like depression and bipolar disorder.

In the United States, scientists found counties with the worst air quality, as indicated by the Environmental Protection Agency, had a 27 percent increase in bipolar disorder and 6 percent increase in depression, when compared to the national average.

Study author and University of Chicago geneticist Andrey Rzhetsky is careful to note that the study doesn’t definitively prove air pollution causes mental illness, but he says it shows where a person might be slightly more at risk. Air pollution takes a massive toll on our health. The World Health Organization links it to deadly diseases like lung cancer and stroke, and new research suggests that polluted regions see more cases of neurological disorders like depression and bipolar disorder.

In the United States, scientists found counties with the worst air quality, as indicated by the Environmental Protection Agency, had a 27 percent increase in bipolar disorder and 6 percent increase in depression, when compared to the national average.

Study author and University of Chicago geneticist Andrey Rzhetsky is careful to note that the study doesn’t definitively prove air pollution causes mental illness, but he says it shows where a person might be slightly more at risk."
